أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
مَسَّكُمُ                ['m', 'a', 's', 's', 'a', 'k', 'u', 'm', 'u']
ٱلضُّرُّ                ['dˤ', 'dˤ', 'u', 'r', 'r', 'u']
فَإِلَيۡهِ               ['f', 'a', 'ʔ', 'i', 'l', 'a', 'j', 'h', 'i']
تَجۡــَٔرُونَ             ['t', 'a', 'ʒ', 'Q', 'ʔ', 'a', 'r', 'u:', 'n']

16:54
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
كَشَفَ                 ['k', 'a', 'ʃ', 'a', 'f', 'a']
ٱلضُّرَّ                ['dˤ', 'dˤ', 'u', 'r', 'r', 'a']
عَنكُمۡ                ['ʕ', 'a', 'ŋ', 'k', 'u', 'm']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
فَرِيقٌ                ['f', 'a', 'r', 'i:', 'q', 'u']
مِّنكُم                ['m̃', 'i', 'ŋ', 'k', 'u', 'ɱ']
بِرَبِّهِمۡ               ['b', 'i', 'r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
يُشۡرِكُونَ              ['j', 'u', 'ʃ', 'r', 'i', 'k', 'u:', 'n']

16:55
لِيَكۡفُرُواۡ             ['l', 'i', 'j', 'a', 'k', 'f', 'u', 'r', 'u:']
بِمَآ                 ['b', 'i', 'm', 'a:']
ءَاتَيۡنَـٰهُمۡ‌ۚ           ['ʔ', 'a:', 't', 'a', 'j', 'n', 'a:', 'h', 'u', 'm']
فَتَمَتَّعُواۡ‌ۖ            ['f', 'a', 't', 'a', 'm', 'a', 't', 't', 'a', 'ʕ', 'u:']
فَسَوۡفَ                ['f', 'a', 's', 'a', 'w', 'f', 'a']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:56
وَيَجۡعَلُونَ             ['w', 'a', 'j', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:', 'n', 'a']
لِمَا                 ['l', 'i', 'm', 'a:']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n', 'a']
نَصِيبًا               ['n', 'a', 'sˤ', 'i:', 'b', 'a']
مِّمَّا                 ['m̃', 'i', 'm̃', 'a:']
رَزَقۡنَـٰهُمۡ‌ۗ            ['r', 'a', 'z', 'a', 'q', 'Q', 'n', 'a:', 'h', 'u', 'm']
تَٱللَّهِ               ['t', 'a', 'l', 'l', 'l', 'a', 'h', 'i']
لَتُسۡــَٔلُنَّ             ['l', 'a', 't', 'u', 's', 'ʔ', 'a', 'l', 'u', 'ñ', 'a']
عَمَّا                 ['ʕ', 'a', 'm̃', 'a:']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تَفۡتَرُونَ              ['t', 'a', 'f', 't', 'a', 'r', 'u:', 'n']

16:57
وَيَجۡعَلُونَ             ['w', 'a', 'j', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:', 'n', 'a']
لِلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
ٱلۡبَنَـٰتِ              ['l', 'b', 'a', 'n', 'a:', 't', 'i']
سُبۡحَـٰنَهُۥ‌ۙ            ['s', 'u', 'b', 'Q', 'ħ', 'a:', 'n', 'a', 'h', 'u:']
وَلَهُم                ['w', 'a', 'l', 'a', 'h', 'u', 'm̃']
مَّا                  ['a:']
يَشۡتَهُونَ              ['j', 'a', 'ʃ', 't', 'a', 'h', 'u:', 'n']

16:58
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
بُشِّرَ                 ['b', 'u', 'ʃ', 'ʃ', 'i', 'r', 'a']
أَحَدُهُم               ['ʔ', 'a', 'ħ', 'a', 'd', 'u', 'h', 'u', 'ɱ']
بِٱلۡأُنثَىٰ             ['b', 'i', 'l', 'ʔ', 'u', 'ŋ', 'θ', 'a:']
ظَلَّ                  ['ðˤ', 'a', 'l', 'l', 'a']
وَجۡهُهُۥ               ['w', 'a', 'ʒ', 'Q', 'h', 'u', 'h', 'u:']
مُسۡوَدًّا               ['m', 'u', 's', 'w', 'a', 'd', 'd', 'a']
وَهُوَ                 ['w̃', 'a', 'h', 'u', 'w', 'a']
كَظِيمٌ                ['k', 'a', 'ðˤ', 'i:', 'm']

16:59
يَتَوٰرَىٰ               ['j', 'a', 't', 'a', 'w', 'a:', 'r', 'a:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡقَوۡمِ               ['l', 'q', 'a', 'w', 'm', 'i']
مِن                  ['m', 'i', 'ŋ']
سُوٓءِ                 ['s', 'u:', 'ʔ', 'i']
مَا                  ['m', 'a:']
بُشِّرَ                 ['b', 'u', 'ʃ', 'ʃ', 'i', 'r', 'a']
بِهِۦٓ‌ۚ                ['b', 'i', 'h', 'i:']
أَيُمۡسِكُهُۥ             ['ʔ', 'a', 'j', 'u', 'm', 's', 'i', 'k', 'u', 'h', 'u:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
هُونٍ                 ['h', 'u:', 'n', 'i', 'n']
أَمۡ                  ['ʔ', 'a', 'm']
يَدُسُّهُۥ               ['j', 'a', 'd', 'u', 's', 's', 'u', 'h', 'u:']
فِى                  ['f', 'i']
ٱلتُّرَابِ‌ۗ             ['t', 't', 'u', 'r', 'a:', 'b', 'QQ']
أَلَا                 ['ʔ', 'a', 'l', 'a:']
سَآءَ                 ['s', 'a:', 'ʔ', 'a']
مَا                  ['m', 'a:']
يَحۡكُمُونَ              ['j', 'a', 'ħ', 'k', 'u', 'm', 'u:', 'n']

16:60
لِلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِٱلۡأَخِرَةِ             ['b', 'i', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
مَثَلُ                 ['m', 'a', 'θ', 'a', 'l', 'u']
ٱلسَّوۡءِ‌ۖ              ['s', 's', 'a', 'w', 'ʔ', 'i']
وَلِلَّهِ                ['w', 'a', 'l', 'i', 'l', 'l', 'a', 'h', 'i']
ٱلۡمَثَلُ               ['l', 'm', 'a', 'θ', 'a', 'l', 'u']
ٱلۡأَعۡلَىٰ‌ۚ             ['l', 'ʔ', 'a', 'ʕ', 'l', 'a:']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
ٱلۡعَزِيزُ              ['l', 'ʕ', 'a', 'z', 'i:', 'z', 'u']
ٱلۡحَكِيمُ              ['l', 'ħ', 'a', 'k', 'i:', 'm']

16:61
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
يُؤَاخِذُ               ['j', 'u', 'ʔ', 'a:', 'x', 'i', 'ð', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلنَّاسَ               ['ñ', 'a:', 's', 'a']
بِظُلۡمِهِم              ['b', 'i', 'ðˤ', 'u', 'l', 'm', 'i', 'h', 'i', 'm̃']
مَّا                  ['a:']
تَرَكَ                 ['t', 'a', 'r', 'a', 'k', 'a']
عَلَيۡهَا               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'a:']
مِن                  ['m', 'i', 'ŋ']
دَآبَّةٍ                ['d', 'a:', 'b', 'b', 'a', 't', 'i']
وَلَـٰكِن               ['w̃', 'a', 'l', 'a:', 'k', 'i']
يُؤَخِّرُهُمۡ              ['j̃', 'u', 'ʔ', 'a', 'x', 'x', 'i', 'r', 'u', 'h', 'u', 'm']
إِلَىٰٓ                 ['ʔ', 'i', 'l', 'a:']
أَجَلٍ                 ['ʔ', 'a', 'ʒ', 'a', 'l', 'i']
مُّسَمًّى‌ۖ               ['m̃', 'u', 's', 'a', 'm', 'm', 'a', 'ŋ']
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
جَآءَ                 ['ʒ', 'a:', 'ʔ', 'a']
أَجَلُهُمۡ               ['ʔ', 'a', 'ʒ', 'a', 'l', 'u', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَسۡتَــٔۡخِرُونَ           ['j', 'a', 's', 't', 'a', 'ʔ', 'x', 'i', 'r', 'u:', 'n', 'a']
سَاعَةً‌ۖ               ['s', 'a:', 'ʕ', 'a', 't', 'a']
وَلَا                 ['w̃', 'a', 'l', 'a:']
يَسۡتَقۡدِمُونَ            ['j', 'a', 's', 't', 'a', 'q', 'Q', 'd', 'i', 'm', 'u:', 'n']

16:62
وَيَجۡعَلُونَ             ['w', 'a', 'j', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:', 'n', 'a']
لِلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
مَا                  ['m', 'a:']
يَكۡرَهُونَ              ['j', 'a', 'k', 'r', 'a', 'h', 'u:', 'n', 'a']
وَتَصِفُ                ['w', 'a', 't', 'a', 'sˤ', 'i', 'f', 'u']
أَلۡسِنَتُهُمُ             ['ʔ', 'a', 'l', 's', 'i', 'n', 'a', 't', 'u', 'h', 'u', 'm', 'u']
ٱلۡكَذِبَ               ['l', 'k', 'a', 'ð', 'i', 'b', 'a']
أَنَّ                  ['ʔ', 'a', 'ñ', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلۡحُسۡنَىٰ‌ۖ             ['l', 'ħ', 'u', 's', 'n', 'a:']
لَا                  ['l', 'a:']
جَرَمَ                 ['ʒ', 'a', 'r', 'a', 'm', 'a']
أَنَّ                  ['ʔ', 'a', 'ñ', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلنَّارَ               ['ñ', 'a:', 'r', 'a']
وَأَنَّهُم               ['w', 'a', 'ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm̃']
مُّفۡرَطُونَ              ['u', 'f', 'r', 'a', 'tˤ', 'u:', 'n']

16:63
تَٱللَّهِ               ['t', 'a', 'l', 'l', 'l', 'a', 'h', 'i']
لَقَدۡ                 ['l', 'a', 'q', 'a', 'd', 'QQ']
أَرۡسَلۡنَآ              ['ʔ', 'a', 'r', 's', 'a', 'l', 'n', 'a:']
إِلَىٰٓ                 ['ʔ', 'i', 'l', 'a:']
أُمَمٍ                 ['ʔ', 'u', 'm', 'a', 'm', 'i']
مِّن                  ['m̃', 'i', 'ŋˤ']
قَبۡلِكَ                ['q', 'a', 'b', 'Q', 'l', 'i', 'k', 'a']
فَزَيَّنَ                ['f', 'a', 'z', 'a', 'j', 'j', 'a', 'n', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلشَّيۡطَـٰنُ             ['ʃ', 'ʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'u']
أَعۡمَـٰلَهُمۡ             ['ʔ', 'a', 'ʕ', 'm', 'a:', 'l', 'a', 'h', 'u', 'm']
فَهُوَ                 ['f', 'a', 'h', 'u', 'w', 'a']
وَلِيُّهُمُ               ['w', 'a', 'l', 'i', 'j', 'j', 'u', 'h', 'u', 'm', 'u']
ٱلۡيَوۡمَ               ['l', 'j', 'a', 'w', 'm', 'a']
وَلَهُمۡ                ['w', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u', 'n']
أَلِيمٌ                ['ʔ', 'a', 'l', 'i:', 'm']

16:64
وَمَآ                 ['w', 'a', 'm', 'a:']
أَنزَلۡنَا              ['ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'n', 'a:']
عَلَيۡكَ                ['ʕ', 'a', 'l', 'a', 'j', 'k', 'a']
ٱلۡكِتَـٰبَ              ['l', 'k', 'i', 't', 'a:', 'b', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
لِتُبَيِّنَ               ['l', 'i', 't', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i']
ٱخۡتَلَفُواۡ             ['x', 't', 'a', 'l', 'a', 'f', 'u:']
فِيهِ‌ۙ                ['f', 'i:', 'h', 'i']
وَهُدًى                ['w', 'a', 'h', 'u', 'd', 'a']
وَرَحۡمَةً               ['w̃', 'a', 'r', 'a', 'ħ', 'm', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يُؤۡمِنُونَ              ['j̃', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

16:65
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
أَنزَلَ                ['ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
مَآءً                 ['m', 'a:', 'ʔ', 'a', 'ŋ']
فَأَحۡيَا               ['f', 'a', 'ʔ', 'a', 'ħ', 'j', 'a:']
بِهِ                  ['b', 'i', 'h', 'i']
ٱلۡأَرۡضَ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'a']
بَعۡدَ                 ['b', 'a', 'ʕ', 'd', 'a']
مَوۡتِهَآ‌ۚ              ['m', 'a', 'w', 't', 'i', 'h', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَةً                ['l', 'a', 'ʔ', 'a', 'j', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَسۡمَعُونَ              ['j̃', 'a', 's', 'm', 'a', 'ʕ', 'u:', 'n']

16:66
وَإِنَّ                 ['w', 'a', 'ʔ', 'i', 'ñ', 'a']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
فِى                  ['f', 'i']
ٱلۡأَنۡعَـٰمِ             ['l', 'ʔ', 'a', 'n', 'ʕ', 'a:', 'm', 'i']
لَعِبۡرَةً‌ۖ              ['l', 'a', 'ʕ', 'i', 'b', 'Q', 'r', 'a', 't', 'a']
نُّسۡقِيكُم              ['ñ', 'u', 's', 'q', 'i:', 'k', 'u', 'm̃']
مِّمَّا                 ['i', 'm̃', 'a:']
فِى                  ['f', 'i:']
بُطُونِهِۦ              ['b', 'u', 'tˤ', 'u:', 'n', 'i', 'h', 'i:']
مِنۢ                  ['m', 'i', 'm̃']
بَيۡنِ                 ['b', 'a', 'j', 'n', 'i']
فَرۡثٍ                 ['f', 'a', 'r', 'θ', 'i']
وَدَمٍ                 ['w̃', 'a', 'd', 'a', 'm', 'i']
لَّبَنًا                ['l', 'l', 'a', 'b', 'a', 'n', 'a', 'n']
خَالِصًا               ['x', 'a:', 'l', 'i', 'sˤ', 'a', 'ŋ']
سَآئِغًا               ['s', 'a:', 'ʔ', 'i', 'ɣ', 'a']
لِّلشَّـٰرِبِينَ            ['l', 'l', 'i', 'l', 'ʃ', 'ʃ', 'a:', 'r', 'i', 'b', 'i:', 'n']

16:67
وَمِن                 ['w', 'a', 'm', 'i', 'ŋ']
ثَمَرٰتِ                ['θ', 'a', 'm', 'a', 'r', 'a:', 't', 'i']
ٱلنَّخِيلِ              ['ñ', 'a', 'x', 'i:', 'l', 'i']
وَٱلۡأَعۡنَـٰبِ            ['w', 'a', 'l', 'ʔ', 'a', 'ʕ', 'n', 'a:', 'b', 'i']
تَتَّخِذُونَ              ['t', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'u:', 'n', 'a']
مِنۡهُ                 ['m', 'i', 'n', 'h', 'u']
سَكَرًا                ['s', 'a', 'k', 'a', 'r', 'a']
وَرِزۡقًا               ['w̃', 'a', 'r', 'i', 'z', 'q', 'a', 'n']
حَسَنًا‌ۗ               ['ħ', 'a', 's', 'a', 'n', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَةً                ['l', 'a', 'ʔ', 'a', 'j', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَعۡقِلُونَ              ['j̃', 'a', 'ʕ', 'q', 'i', 'l', 'u:', 'n']

16:68
وَأَوۡحَىٰ               ['w', 'a', 'ʔ', 'a', 'w', 'ħ', 'a:']
رَبُّكَ                 ['r', 'a', 'b', 'b', 'u', 'k', 'a']
إِلَى                 ['ʔ', 'i', 'l', 'a']
ٱلنَّحۡلِ               ['ñ', 'a', 'ħ', 'l', 'i']
أَنِ                  ['ʔ', 'a', 'n', 'i']
ٱتَّخِذِى               ['t', 't', 'a', 'x', 'i', 'ð', 'i:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡجِبَالِ              ['l', 'ʒ', 'i', 'b', 'a:', 'l', 'i']
بُيُوتًا               ['b', 'u', 'j', 'u:', 't', 'a']
وَمِنَ                 ['w̃', 'a', 'm', 'i', 'n', 'a']
ٱلشَّجَرِ               ['ʃ', 'ʃ', 'a', 'ʒ', 'a', 'r', 'i']
وَمِمَّا                ['w', 'a', 'm', 'i', 'm̃', 'a:']
يَعۡرِشُونَ              ['j', 'a', 'ʕ', 'r', 'i', 'ʃ', 'u:', 'n']

16:69
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
كُلِى                 ['k', 'u', 'l', 'i:']
مِن                  ['m', 'i', 'ŋ']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
ٱلثَّمَرٰتِ              ['θ', 'θ', 'a', 'm', 'a', 'r', 'a:', 't', 'i']
فَٱسۡلُكِى              ['f', 'a', 's', 'l', 'u', 'k', 'i:']
سُبُلَ                 ['s', 'u', 'b', 'u', 'l', 'a']
رَبِّكِ                 ['r', 'a', 'b', 'b', 'i', 'k', 'i']
ذُلُلاً‌ۚ               ['ð', 'u', 'l', 'u', 'l', 'a']
يَخۡرُجُ                ['j̃', 'a', 'x', 'r', 'u', 'ʒ', 'u']
مِنۢ                  ['m', 'i', 'm̃']
بُطُونِهَا              ['b', 'u', 'tˤ', 'u:', 'n', 'i', 'h', 'a:']
شَرَابٌ                ['ʃ', 'a', 'r', 'a:', 'b', 'u']
مُّخۡتَلِفٌ               ['m̃', 'u', 'x', 't', 'a', 'l', 'i', 'f', 'u', 'n']
أَلۡوٰنُهُۥ              ['ʔ', 'a', 'l', 'w', 'a:', 'n', 'u', 'h', 'u:']
فِيهِ                 ['f', 'i:', 'h', 'i']
شِفَآءٌ                ['ʃ', 'i', 'f', 'a:', 'ʔ', 'u']
لِّلنَّاسِ‌ۗ              ['l', 'l', 'i', 'l', 'ñ', 'a:', 's']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَةً                ['l', 'a', 'ʔ', 'a', 'j', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَتَفَكَّرُونَ             ['j̃', 'a', 't', 'a', 'f', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:70
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
خَلَقَكُمۡ               ['x', 'a', 'l', 'a', 'q', 'a', 'k', 'u', 'm']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
يَتَوَفَّـٰكُمۡ‌ۚ            ['j', 'a', 't', 'a', 'w', 'a', 'f', 'f', 'a:', 'k', 'u', 'm']
وَمِنكُم               ['w', 'a', 'm', 'i', 'ŋ', 'k', 'u', 'm̃']
مَّن                  ['a']
يُرَدُّ                 ['j̃', 'u', 'r', 'a', 'd', 'd', 'u']
إِلَىٰٓ                 ['ʔ', 'i', 'l', 'a:']
أَرۡذَلِ                ['ʔ', 'a', 'r', 'ð', 'a', 'l', 'i']
ٱلۡعُمُرِ               ['l', 'ʕ', 'u', 'm', 'u', 'r', 'i']
لِكَىۡ                 ['l', 'i', 'k', 'a', 'j']
لَا                  ['l', 'a:']
يَعۡلَمَ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'a']
بَعۡدَ                 ['b', 'a', 'ʕ', 'd', 'a']
عِلۡمٍ                 ['ʕ', 'i', 'l', 'm', 'i', 'ŋ']
شَيۡــًٔا‌ۚ              ['ʃ', 'a', 'j', 'ʔ', 'a', 'n']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلِيمٌ                ['ʕ', 'a', 'l', 'i:', 'm', 'u', 'ŋˤ']
قَدِيرٌ                ['q', 'a', 'd', 'i:', 'r']

16:71
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
فَضَّلَ                 ['f', 'a', 'dˤ', 'dˤ', 'a', 'l', 'a']
بَعۡضَكُمۡ               ['b', 'a', 'ʕ', 'dˤ', 'a', 'k', 'u', 'm']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
بَعۡضٍ                 ['b', 'a', 'ʕ', 'dˤ', 'i', 'ŋ']
فِى                  ['f', 'i']
ٱلرِّزۡقِ‌ۚ              ['r', 'r', 'i', 'z', 'q', 'i']
فَمَا                 ['f', 'a', 'm', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
فُضِّلُواۡ               ['f', 'u', 'dˤ', 'dˤ', 'i', 'l', 'u:']
بِرَآدِّى               ['b', 'i', 'r', 'a:', 'd', 'd', 'i:']
رِزۡقِهِمۡ               ['r', 'i', 'z', 'q', 'i', 'h', 'i', 'm']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَا                  ['m', 'a:']
مَلَكَتۡ                ['m', 'a', 'l', 'a', 'k', 'a', 't']
أَيۡمَـٰنُهُمۡ             ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'u', 'h', 'u', 'm']
فَهُمۡ                 ['f', 'a', 'h', 'u', 'm']
فِيهِ                 ['f', 'i:', 'h', 'i']
سَوَآءٌ‌ۚ               ['s', 'a', 'w', 'a:', 'ʔ', 'u', 'n']
أَفَبِنِعۡمَةِ             ['ʔ', 'a', 'f', 'a', 'b', 'i', 'n', 'i', 'ʕ', 'm', 'a', 't', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
يَجۡحَدُونَ              ['j', 'a', 'ʒ', 'Q', 'ħ', 'a', 'd', 'u:', 'n']

16:72
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
جَعَلَ                 ['ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّنۡ                  ['i', 'n']
أَنفُسِكُمۡ              ['ʔ', 'a', 'ŋ', 'f', 'u', 's', 'i', 'k', 'u', 'm']
أَزۡوٰجًا               ['ʔ', 'a', 'z', 'w', 'a:', 'ʒ', 'a']
وَجَعَلَ                ['w̃', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّنۡ                  ['i', 'n']
أَزۡوٰجِكُم              ['ʔ', 'a', 'z', 'w', 'a:', 'ʒ', 'i', 'k', 'u', 'ɱ']
بَنِينَ                ['b', 'a', 'n', 'i:', 'n', 'a']
وَحَفَدَةً               ['w', 'a', 'ħ', 'a', 'f', 'a', 'd', 'a', 't', 'a']
وَرَزَقَكُم              ['w̃', 'a', 'r', 'a', 'z', 'a', 'q', 'a', 'k', 'u', 'm̃']
مِّنَ                  ['i', 'n', 'a']
ٱلطَّيِّبَـٰتِ‌ۚ            ['tˤ', 'tˤ', 'a', 'j', 'j', 'i', 'b', 'a:', 't', 'i']
أَفَبِٱلۡبَـٰطِلِ           ['ʔ', 'a', 'f', 'a', 'b', 'i', 'l', 'b', 'a:', 'tˤ', 'i', 'l', 'i']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
وَبِنِعۡمَتِ              ['w', 'a', 'b', 'i', 'n', 'i', 'ʕ', 'm', 'a', 't', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
هُمۡ                  ['h', 'u', 'm']
يَكۡفُرُونَ              ['j', 'a', 'k', 'f', 'u', 'r', 'u:', 'n']

16:73
وَيَعۡبُدُونَ             ['w', 'a', 'j', 'a', 'ʕ', 'b', 'u', 'd', 'u:', 'n', 'a']
مِن                  ['m', 'i', 'ŋ']
دُونِ                 ['d', 'u:', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مَا                  ['m', 'a:']
لَا                  ['l', 'a:']
يَمۡلِكُ                ['j', 'a', 'm', 'l', 'i', 'k', 'u']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
رِزۡقًا                ['r', 'i', 'z', 'q', 'a']
مِّنَ                  ['m̃', 'i', 'n', 'a']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَٱلۡأَرۡضِ              ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'i']
شَيۡــًٔا               ['ʃ', 'a', 'j', 'ʔ', 'a']
وَلَا                 ['w̃', 'a', 'l', 'a:']
يَسۡتَطِيعُونَ            ['j', 'a', 's', 't', 'a', 'tˤ', 'i:', 'ʕ', 'u:', 'n']

16:74
فَلَا                 ['f', 'a', 'l', 'a:']
تَضۡرِبُواۡ              ['t', 'a', 'dˤ', 'r', 'i', 'b', 'u:']
لِلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
ٱلۡأَمۡثَالَ‌ۚ            ['l', 'ʔ', 'a', 'm', 'θ', 'a:', 'l', 'a']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'ŋ', 't', 'u', 'm']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:75
۞ضَرَبَ                ['dˤ', 'a', 'r', 'a', 'b', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَثَلاً                ['m', 'a', 'θ', 'a', 'l', 'a', 'n']
عَبۡدًا                ['ʕ', 'a', 'b', 'Q', 'd', 'a']
مَّمۡلُوكًا              ['m̃', 'a', 'm', 'l', 'u:', 'k', 'a']
لَّا                  ['l', 'l', 'a:']
يَقۡدِرُ                ['j', 'a', 'q', 'Q', 'd', 'i', 'r', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
وَمَن                 ['w̃', 'a', 'm', 'a']
رَّزَقۡنَـٰهُ              ['r', 'r', 'a', 'z', 'a', 'q', 'Q', 'n', 'a:', 'h', 'u']
مِنَّا                 ['m', 'i', 'ñ', 'a:']
رِزۡقًا                ['r', 'i', 'z', 'q', 'a', 'n']
حَسَنًا                ['ħ', 'a', 's', 'a', 'n', 'a', 'ŋ']
فَهُوَ                 ['f', 'a', 'h', 'u', 'w', 'a']
يُنفِقُ                ['j', 'u', 'ŋ', 'f', 'i', 'q', 'u']
