الٓمٓ                 ['l', 'm']
أَن                  ['ʔ', 'a', 'Ikh1']
تُحِبُّواۡ               ['t', 'u', 'ħ', 'i', 'b', 'b', 'u:']
شَيۡــًٔا               ['ʃ', 'a', 'j', 'ʔ', 'a']
وَهُوَ                 ['w̰', 'a', 'h', 'u', 'w', 'a']
شَرٌّ                  ['ʃ', 'a', 'r', 'r', 'u']
لَّكُمۡ‌ۗ                ['l', 'l', 'a', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

217
يَسۡــَٔلُونَكَ            ['j', 'a', 's', 'ʔ', 'a', 'l', 'u:', 'n', 'a', 'k', 'a']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلشَّهۡرِ               ['ʃ', 'ʃ', 'a', 'h', 'r', 'i']
ٱلۡحَرَامِ              ['l', 'ħ', 'a', 'r', 'a:', 'm', 'i']
قِتَالٍ                ['q', 'i', 't', 'a:', 'l', 'i', 'Ikh1']
فِيهِ‌ۖ                ['f', 'i:', 'h', 'i']
قُلۡ                  ['q', 'u', 'l']
قِتَالٌ                ['q', 'i', 't', 'a:', 'l', 'u', 'Ikh1']
فِيهِ                 ['f', 'i:', 'h', 'i']
كَبِيرٌ‌ۖ               ['k', 'a', 'b', 'i:', 'r', 'u']
وَصَدٌّ                 ['w̰', 'a', 'sˤ', 'a', 'd', 'd', 'un']
عَن                  ['ʕ', 'a', 'Ikh1']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَكُفۡرُۢ                ['w', 'a', 'k', 'u', 'f', 'r', 'u', 'm̰']
بِهِۦ                 ['b', 'i', 'h', 'i:']
وَٱلۡمَسۡجِدِ             ['w', 'a', 'l', 'm', 'a', 's', 'ʒ', 'i', 'd', 'i']
ٱلۡحَرَامِ              ['l', 'ħ', 'a', 'r', 'a:', 'm', 'i']
وَإِخۡرَاجُ              ['w', 'a', 'ʔ', 'i', 'x', 'r', 'a:', 'ʒ', 'u']
أَهۡلِهِۦ               ['ʔ', 'a', 'h', 'l', 'i', 'h', 'i:']
مِنۡهُ                 ['m', 'i', 'n', 'h', 'u']
أَكۡبَرُ                ['ʔ', 'a', 'k', 'b', 'a', 'r', 'u']
عِندَ                 ['ʕ', 'i', 'Ikh1', 'd', 'a']
ٱللَّهِ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'i']
وَٱلۡفِتۡنَةُ             ['w', 'a', 'l', 'f', 'i', 't', 'n', 'a', 't', 'u']
أَكۡبَرُ                ['ʔ', 'a', 'k', 'b', 'a', 'r', 'u']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡقَتۡلِ‌ۗ              ['l', 'q', 'a', 't', 'l', 'i']
وَلَا                 ['w', 'a', 'l', 'a:']
يَزَالُونَ              ['j', 'a', 'z', 'a:', 'l', 'u:', 'n', 'a']
يُقَـٰتِلُونَكُمۡ           ['j', 'u', 'q', 'a:', 't', 'i', 'l', 'u:', 'n', 'a', 'k', 'u', 'm']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يَرُدُّوكُمۡ              ['j', 'a', 'r', 'u', 'd', 'd', 'u:', 'k', 'u', 'm']
عَن                  ['ʕ', 'a', 'Ikh1']
دِينِكُمۡ               ['d', 'i:', 'n', 'i', 'k', 'u', 'm']
إِنِ                  ['ʔ', 'i', 'n', 'i']
ٱسۡتَطَـٰعُواۡ‌ۚ           ['s', 't', 'a', 'tˤ', 'a:', 'ʕ', 'u:']
وَمَن                 ['w', 'a', 'm', 'a']
يَرۡتَدِدۡ               ['j̰', 'a', 'r', 't', 'a', 'd', 'i', 'd', 'QQ']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
عَن                  ['ʕ', 'a', 'Ikh1']
دِينِهِۦ               ['d', 'i:', 'n', 'i', 'h', 'i:']
فَيَمُتۡ                ['f', 'a', 'j', 'a', 'm', 'u', 't']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
كَافِرٌ                ['k', 'a:', 'f', 'i', 'r', 'u', 'Ikh1']
فَأُوۡلَـٰٓئِكَ             ['f', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
حَبِطَتۡ                ['ħ', 'a', 'b', 'i', 'tˤ', 'a', 't']
أَعۡمَـٰلُهُمۡ             ['ʔ', 'a', 'ʕ', 'm', 'a:', 'l', 'u', 'h', 'u', 'm']
فِى                  ['f', 'i:']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
وَٱلۡأَخِرَةِ‌ۖ            ['w', 'a', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
وَأُوۡلَـٰٓئِكَ             ['w', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
أَصۡحَـٰبُ               ['ʔ', 'a', 'sˤ', 'ħ', 'a:', 'b', 'u']
ٱلنَّارِ‌ۖ              ['n̰', 'a:', 'r', 'i']
هُمۡ                  ['h', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
خَـٰلِدُونَ              ['x', 'a:', 'l', 'i', 'd', 'u:', 'n']

218
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هَاجَرُواۡ              ['h', 'a:', 'ʒ', 'a', 'r', 'u:']
وَجَـٰهَدُواۡ             ['w', 'a', 'ʒ', 'a:', 'h', 'a', 'd', 'u:']
فِى                  ['f', 'i:']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
يَرۡجُونَ               ['j', 'a', 'r', 'ʒ', 'u:', 'n', 'a']
رَحۡمَتَ                ['r', 'a', 'ħ', 'm', 'a', 't', 'a']
ٱللَّهِ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

219
۞يَسۡــَٔلُونَكَ           ['j', 'a', 's', 'ʔ', 'a', 'l', 'u:', 'n', 'a', 'k', 'a']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلۡخَمۡرِ               ['l', 'x', 'a', 'm', 'r', 'i']
وَٱلۡمَيۡسِرِ‌ۖ            ['w', 'a', 'l', 'm', 'a', 'j', 's', 'i', 'r', 'i']
قُلۡ                  ['q', 'u', 'l']
فِيهِمَآ               ['f', 'i:', 'h', 'i', 'm', 'a:']
إِثۡمٌ                 ['ʔ', 'i', 'θ', 'm', 'u', 'Ikh1']
كَبِيرٌ                ['k', 'a', 'b', 'i:', 'r', 'u']
وَمَنَـٰفِعُ              ['w̰', 'a', 'm', 'a', 'n', 'a:', 'f', 'i', 'ʕ', 'u']
لِلنَّاسِ               ['l', 'i', 'l', 'n̰', 'a:', 's', 'i']
وَإِثۡمُهُمَآ             ['w', 'a', 'ʔ', 'i', 'θ', 'm', 'u', 'h', 'u', 'm', 'a:']
أَكۡبَرُ                ['ʔ', 'a', 'k', 'b', 'a', 'r', 'u']
مِن                  ['m', 'i']
نَّفۡعِهِمَا‌ۗ             ['n̰', 'a', 'f', 'ʕ', 'i', 'h', 'i', 'm', 'a:']
وَيَسۡــَٔلُونَكَ           ['w', 'a', 'j', 'a', 's', 'ʔ', 'a', 'l', 'u:', 'n', 'a', 'k', 'a']
مَاذَا                ['m', 'a:', 'ð', 'a:']
يُنفِقُونَ              ['j', 'u', 'Ikh1', 'f', 'i', 'q', 'u:', 'n', 'a']
قُلِ                  ['q', 'u', 'l', 'i']
ٱلۡعَفۡوَ‌ۗ              ['l', 'ʕ', 'a', 'f', 'w', 'a']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
يُبَيِّنُ                ['j', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لَكُمُ                 ['l', 'a', 'k', 'u', 'm', 'u']
ٱلۡأَيَـٰتِ              ['l', 'ʔ', 'a', 'j', 'a:', 't', 'i']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَتَفَكَّرُونَ             ['t', 'a', 't', 'a', 'f', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

220
فِى                  ['f', 'i:']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
وَٱلۡأَخِرَةِ‌ۗ            ['w', 'a', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
وَيَسۡــَٔلُونَكَ           ['w', 'a', 'j', 'a', 's', 'ʔ', 'a', 'l', 'u:', 'n', 'a', 'k', 'a']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلۡيَتَـٰمَىٰ‌ۖ            ['l', 'j', 'a', 't', 'a:', 'm', 'a:']
قُلۡ                  ['q', 'u', 'l']
إِصۡلَاحٌ               ['ʔ', 'i', 'sˤ', 'l', 'a:', 'ħ', 'u']
لَّهُمۡ                 ['l', 'l', 'a', 'h', 'u', 'm']
خَيۡرٌ‌ۖ                ['x', 'a', 'j', 'r', 'u']
وَإِن                 ['w̰', 'a', 'ʔ', 'i', 'Ikh1']
تُخَالِطُوهُمۡ            ['t', 'u', 'x', 'a:', 'l', 'i', 'tˤ', 'u:', 'h', 'u', 'm']
فَإِخۡوٰنُكُمۡ‌ۚ            ['f', 'a', 'ʔ', 'i', 'x', 'w', 'a:', 'n', 'u', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
ٱلۡمُفۡسِدَ              ['l', 'm', 'u', 'f', 's', 'i', 'd', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡمُصۡلِحِ‌ۚ             ['l', 'm', 'u', 'sˤ', 'l', 'i', 'ħ', 'i']
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
شَآءَ                 ['ʃ', 'a:', 'ʔ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لَأَعۡنَتَكُمۡ‌ۚ            ['l', 'a', 'ʔ', 'a', 'ʕ', 'n', 'a', 't', 'a', 'k', 'u', 'm']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَزِيزٌ                ['ʕ', 'a', 'z', 'i:', 'z', 'un']
حَكِيمٌ                ['ħ', 'a', 'k', 'i:', 'm']

221
وَلَا                 ['w', 'a', 'l', 'a:']
تَنكِحُواۡ              ['t', 'a', 'Ikh1', 'k', 'i', 'ħ', 'u:']
ٱلۡمُشۡرِكَـٰتِ            ['l', 'm', 'u', 'ʃ', 'r', 'i', 'k', 'a:', 't', 'i']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يُؤۡمِنَّ‌ۚ               ['j', 'u', 'ʔ', 'm', 'i', 'n̰', 'a']
وَلَأَمَةٌ               ['w', 'a', 'l', 'a', 'ʔ', 'a', 'm', 'a', 't', 'u']
مُّؤۡمِنَةٌ               ['m̰', 'u', 'ʔ', 'm', 'i', 'n', 'a', 't', 'un']
خَيۡرٌ                 ['x', 'a', 'j', 'r', 'u']
مِّن                  ['m̰', 'i']
مُّشۡرِكَةٍ               ['m̰', 'u', 'ʃ', 'r', 'i', 'k', 'a', 't', 'i']
وَلَوۡ                 ['w̰', 'a', 'l', 'a', 'w']
أَعۡجَبَتۡكُمۡ‌ۗ            ['ʔ', 'a', 'ʕ', 'ʒ', 'a', 'b', 'a', 't', 'k', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
تُنكِحُواۡ              ['t', 'u', 'Ikh1', 'k', 'i', 'ħ', 'u:']
ٱلۡمُشۡرِكِينَ            ['l', 'm', 'u', 'ʃ', 'r', 'i', 'k', 'i:', 'n', 'a']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يُؤۡمِنُواۡ‌ۚ             ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:']
وَلَعَبۡدٌ               ['w', 'a', 'l', 'a', 'ʕ', 'a', 'b', 'Q', 'd', 'u']
مُّؤۡمِنٌ                ['m̰', 'u', 'ʔ', 'm', 'i', 'n', 'un']
خَيۡرٌ                 ['x', 'a', 'j', 'r', 'u']
مِّن                  ['m̰', 'i']
مُّشۡرِكٍ                ['m̰', 'u', 'ʃ', 'r', 'i', 'k', 'i']
وَلَوۡ                 ['w̰', 'a', 'l', 'a', 'w']
أَعۡجَبَكُمۡ‌ۗ             ['ʔ', 'a', 'ʕ', 'ʒ', 'a', 'b', 'a', 'k', 'u', 'm']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
يَدۡعُونَ               ['j', 'a', 'd', 'Q', 'ʕ', 'u:', 'n', 'a']
إِلَى                 ['ʔ', 'i', 'l', 'a:']
ٱلنَّارِ‌ۖ              ['n̰', 'a:', 'r', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَدۡعُوٓاۡ               ['j', 'a', 'd', 'Q', 'ʕ', 'u:']
إِلَى                 ['ʔ', 'i', 'l', 'a:']
ٱلۡجَنَّةِ               ['l', 'ʒ', 'a', 'n̰', 'a', 't', 'i']
وَٱلۡمَغۡفِرَةِ            ['w', 'a', 'l', 'm', 'a', 'ɣ', 'f', 'i', 'r', 'a', 't', 'i']
بِإِذۡنِهِۦ‌ۖ             ['b', 'i', 'ʔ', 'i', 'ð', 'n', 'i', 'h', 'i:']
وَيُبَيِّنُ               ['w', 'a', 'j', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'u']
ءَايَـٰتِهِۦ             ['ʔ', 'a:', 'j', 'a:', 't', 'i', 'h', 'i:']
لِلنَّاسِ               ['l', 'i', 'l', 'n̰', 'a:', 's', 'i']
لَعَلَّهُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'h', 'u', 'm']
يَتَذَكَّرُونَ             ['j', 'a', 't', 'a', 'ð', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

222
وَيَسۡــَٔلُونَكَ           ['w', 'a', 'j', 'a', 's', 'ʔ', 'a', 'l', 'u:', 'n', 'a', 'k', 'a']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلۡمَحِيضِ‌ۖ             ['l', 'm', 'a', 'ħ', 'i:', 'dˤ', 'i']
قُلۡ                  ['q', 'u', 'l']
هُوَ                  ['h', 'u', 'w', 'a']
أَذًى                 ['ʔ', 'a', 'ð', 'a', 'Ikh1']
فَٱعۡتَزِلُواۡ            ['f', 'a', 'ʕ', 't', 'a', 'z', 'i', 'l', 'u:']
ٱلنِّسَآءَ              ['n̰', 'i', 's', 'a:', 'ʔ', 'a']
فِى                  ['f', 'i:']
ٱلۡمَحِيضِ‌ۖ             ['l', 'm', 'a', 'ħ', 'i:', 'dˤ', 'i']
وَلَا                 ['w', 'a', 'l', 'a:']
تَقۡرَبُوهُنَّ             ['t', 'a', 'q', 'Q', 'r', 'a', 'b', 'u:', 'h', 'u', 'n̰', 'a']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يَطۡهُرۡنَ‌ۖ              ['j', 'a', 'tˤ', 'Q', 'h', 'u', 'r', 'n', 'a']
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
تَطَهَّرۡنَ               ['t', 'a', 'tˤ', 'a', 'h', 'h', 'a', 'r', 'n', 'a']
فَأۡتُوهُنَّ              ['f', 'a', 'ʔ', 't', 'u:', 'h', 'u', 'n̰', 'a']
مِنۡ                  ['m', 'i', 'n']
حَيۡثُ                 ['ħ', 'a', 'j', 'θ', 'u']
أَمَرَكُمُ               ['ʔ', 'a', 'm', 'a', 'r', 'a', 'k', 'u', 'm', 'u']
ٱللَّهُ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'u']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلتَّوّٰبِينَ             ['t', 't', 'a', 'w', 'w', 'a:', 'b', 'i:', 'n', 'a']
وَيُحِبُّ                ['w', 'a', 'j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلۡمُتَطَهِّرِينَ           ['l', 'm', 'u', 't', 'a', 'tˤ', 'a', 'h', 'h', 'i', 'r', 'i:', 'n']

223
نِسَآؤُكُمۡ              ['n', 'i', 's', 'a:', 'ʔ', 'u', 'k', 'u', 'm']
حَرۡثٌ                 ['ħ', 'a', 'r', 'θ', 'u']
لَّكُمۡ                 ['l', 'l', 'a', 'k', 'u', 'm']
فَأۡتُواۡ               ['f', 'a', 'ʔ', 't', 'u:']
حَرۡثَكُمۡ               ['ħ', 'a', 'r', 'θ', 'a', 'k', 'u', 'm']
أَنَّىٰ                 ['ʔ', 'a', 'n̰', 'a:']
شِئۡتُمۡ‌ۖ               ['ʃ', 'i', 'ʔ', 't', 'u', 'm']
وَقَدِّمُواۡ              ['w', 'a', 'q', 'a', 'd', 'd', 'i', 'm', 'u:']
لِأَنفُسِكُمۡ‌ۚ            ['l', 'i', 'ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'k', 'u', 'm']
وَٱتَّقُواۡ              ['w', 'a', 't', 't', 'a', 'q', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱعۡلَمُوٓاۡ             ['w', 'a', 'ʕ', 'l', 'a', 'm', 'u:']
أَنَّكُم                ['ʔ', 'a', 'n̰', 'a', 'k', 'u', 'm̰']
مُّلَـٰقُوهُ‌ۗ             ['u', 'l', 'a:', 'q', 'u:', 'h', 'u']
وَبَشِّرِ                ['w', 'a', 'b', 'a', 'ʃ', 'ʃ', 'i', 'r', 'i']
ٱلۡمُؤۡمِنِينَ            ['l', 'm', 'u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

224
وَلَا                 ['w', 'a', 'l', 'a:']
تَجۡعَلُواۡ              ['t', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عُرۡضَةً                ['ʕ', 'u', 'r', 'dˤ', 'a', 't', 'a']
لِّأَيۡمَـٰنِكُمۡ            ['l', 'i', 'i', 'ʔ', 'a', 'j', 'm', 'a:', 'n', 'i', 'k', 'u', 'm']
أَن                  ['ʔ', 'a', 'Ikh1']
تَبَرُّواۡ               ['t', 'a', 'b', 'a', 'r', 'r', 'u:']
وَتَتَّقُواۡ              ['w', 'a', 't', 'a', 't', 't', 'a', 'q', 'u:']
وَتُصۡلِحُواۡ             ['w', 'a', 't', 'u', 'sˤ', 'l', 'i', 'ħ', 'u:']
بَيۡنَ                 ['b', 'a', 'j', 'n', 'a']
ٱلنَّاسِ‌ۗ              ['n̰', 'a:', 's', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
سَمِيعٌ                ['s', 'a', 'm', 'i:', 'ʕ', 'un']
عَلِيمٌ                ['ʕ', 'a', 'l', 'i:', 'm']

225
لَّا                  ['l', 'a:']
يُؤَاخِذُكُمُ             ['j', 'u', 'ʔ', 'a:', 'x', 'i', 'ð', 'u', 'k', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِٱللَّغۡوِ              ['b', 'i', 'l', 'l', 'a', 'ɣ', 'w', 'i']
فِىٓ                  ['f', 'i:']
أَيۡمَـٰنِكُمۡ             ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'i', 'k', 'u', 'm']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i']
يُؤَاخِذُكُم             ['j̰', 'u', 'ʔ', 'a:', 'x', 'i', 'ð', 'u', 'k', 'u', 'Ikh']
بِمَا                 ['b', 'i', 'm', 'a:']
كَسَبَتۡ                ['k', 'a', 's', 'a', 'b', 'a', 't']
قُلُوبُكُمۡ‌ۗ             ['q', 'u', 'l', 'u:', 'b', 'u', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'un']
حَلِيمٌ                ['ħ', 'a', 'l', 'i:', 'm']

226
لِّلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يُؤۡلُونَ               ['j', 'u', 'ʔ', 'l', 'u:', 'n', 'a']
مِن                  ['m', 'i']
نِّسَآئِهِمۡ              ['n̰', 'i', 's', 'a:', 'ʔ', 'i', 'h', 'i', 'm']
تَرَبُّصُ                ['t', 'a', 'r', 'a', 'b', 'b', 'u', 'sˤ', 'u']
أَرۡبَعَةِ               ['ʔ', 'a', 'r', 'b', 'a', 'ʕ', 'a', 't', 'i']
أَشۡهُرٍ‌ۖ               ['ʔ', 'a', 'ʃ', 'h', 'u', 'r', 'i', 'Ikh1']
فَإِن                 ['f', 'a', 'ʔ', 'i', 'Ikh1']
فَآءُو                ['f', 'a:', 'ʔ', 'u:']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

227
وَإِنۡ                 ['w', 'a', 'ʔ', 'i', 'n']
عَزَمُواۡ               ['ʕ', 'a', 'z', 'a', 'm', 'u:']
ٱلطَّلَـٰقَ              ['tˤ', 'tˤ', 'a', 'l', 'a:', 'q', 'a']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
سَمِيعٌ                ['s', 'a', 'm', 'i:', 'ʕ', 'un']
عَلِيمٌ                ['ʕ', 'a', 'l', 'i:', 'm']

228
وَٱلۡمُطَلَّقَـٰتُ           ['w', 'a', 'l', 'm', 'u', 'tˤ', 'a', 'l', 'l', 'a', 'q', 'a:', 't', 'u']
يَتَرَبَّصۡنَ              ['j', 'a', 't', 'a', 'r', 'a', 'b', 'b', 'a', 'sˤ', 'n', 'a']
بِأَنفُسِهِنَّ             ['b', 'i', 'ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'h', 'i', 'n̰', 'a']
ثَلَـٰثَةَ               ['θ', 'a', 'l', 'a:', 'θ', 'a', 't', 'a']
قُرُوٓءٍ‌ۚ               ['q', 'u', 'r', 'u:', 'ʔ', 'i']
وَلَا                 ['w̰', 'a', 'l', 'a:']
يَحِلُّ                 ['j', 'a', 'ħ', 'i', 'l', 'l', 'u']
لَهُنَّ                 ['l', 'a', 'h', 'u', 'n̰', 'a']
أَن                  ['ʔ', 'a']
يَكۡتُمۡنَ               ['j̰', 'a', 'k', 't', 'u', 'm', 'n', 'a']
مَا                  ['m', 'a:']
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
فِىٓ                  ['f', 'i:']
أَرۡحَامِهِنَّ             ['ʔ', 'a', 'r', 'ħ', 'a:', 'm', 'i', 'h', 'i', 'n̰', 'a']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنَّ                  ['k', 'u', 'n̰', 'a']
يُؤۡمِنَّ                ['j', 'u', 'ʔ', 'm', 'i', 'n̰', 'a']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
وَٱلۡيَوۡمِ              ['w', 'a', 'l', 'j', 'a', 'w', 'm', 'i']
ٱلۡأَخِرِ‌ۚ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'i']
وَبُعُولَتُهُنَّ            ['w', 'a', 'b', 'u', 'ʕ', 'u:', 'l', 'a', 't', 'u', 'h', 'u', 'n̰', 'a']
أَحَقُّ                 ['ʔ', 'a', 'ħ', 'a', 'q', 'q', 'u']
بِرَدِّهِنَّ               ['b', 'i', 'r', 'a', 'd', 'd', 'i', 'h', 'i', 'n̰', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
إِنۡ                  ['ʔ', 'i', 'n']
أَرَادُوٓاۡ              ['ʔ', 'a', 'r', 'a:', 'd', 'u:']
إِصۡلَـٰحًا‌ۚ             ['ʔ', 'i', 'sˤ', 'l', 'a:', 'ħ', 'a']
وَلَهُنَّ                ['w̰', 'a', 'l', 'a', 'h', 'u', 'n̰', 'a']
مِثۡلُ                 ['m', 'i', 'θ', 'l', 'u']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
عَلَيۡهِنَّ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'n̰', 'a']
بِٱلۡمَعۡرُوفِ‌ۚ           ['b', 'i', 'l', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'i']
وَلِلرِّجَالِ             ['w', 'a', 'l', 'i', 'l', 'r', 'r', 'i', 'ʒ', 'a:', 'l', 'i']
عَلَيۡهِنَّ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'n̰', 'a']
دَرَجَةٌ‌ۗ               ['d', 'a', 'r', 'a', 'ʒ', 'a', 't', 'u']
وَٱللَّهُ               ['w̰', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
عَزِيزٌ                ['ʕ', 'a', 'z', 'i:', 'z', 'un']
حَكِيمٌ                ['ħ', 'a', 'k', 'i:', 'm']

229
ٱلطَّلَـٰقُ              ['tˤ', 'tˤ', 'a', 'l', 'a:', 'q', 'u']
مَرَّتَانِ‌ۖ              ['m', 'a', 'r', 'r', 'a', 't', 'a:', 'n', 'i']
فَإِمۡسَاكُۢ              ['f', 'a', 'ʔ', 'i', 'm', 's', 'a:', 'k', 'u', 'm̰']
بِمَعۡرُوفٍ              ['b', 'i', 'm', 'a', 'ʕ', 'r', 'u:', 'f', 'in']
أَوۡ                  ['ʔ', 'a', 'w']
تَسۡرِيحُۢ               ['t', 'a', 's', 'r', 'i:', 'ħ', 'u', 'm̰']
بِإِحۡسَـٰنٍ‌ۗ             ['b', 'i', 'ʔ', 'i', 'ħ', 's', 'a:', 'n', 'i']
وَلَا                 ['w̰', 'a', 'l', 'a:']
يَحِلُّ                 ['j', 'a', 'ħ', 'i', 'l', 'l', 'u']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
أَن                  ['ʔ', 'a', 'Ikh1']
تَأۡخُذُواۡ              ['t', 'a', 'ʔ', 'x', 'u', 'ð', 'u:']
